"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1344",NA,4,3799,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1345",NA,4,3800,2,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1346",400,4,3808,2,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1347",300,4,3809,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1348",180,4,3811,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1349",2700,4,3815,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1350",NA,4,3817,2,NA,NA,NA,NA,NA,NA,6,3,110132.7,384142319
"1351",4000,4,3823,2,NA,NA,NA,NA,6,5,5,2,110132.7,384142319
"1352",NA,NA,3827,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1353",NA,4,3830,1,NA,NA,NA,NA,NA,NA,6,4,110132.7,384142319
"1354",2700,4,3832,1,NA,NA,NA,1,0,1,5,5,110132.7,384142319
"1355",5500,4,3833,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1356",4200,4,3834,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1357",NA,NA,3835,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1358",340,4,3837,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1359",280,4,3838,1,NA,NA,NA,1,1,1,5,3,110132.7,384142319
"1360",NA,5,3840,1,1,1,5,NA,NA,NA,4,1,110132.7,384142319
"1361",193,4,3843,1,NA,NA,NA,1,4,1,5,1,110132.7,384142319
"1362",498,4,3846,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1363",7000,4,3848,2,NA,NA,NA,NA,8,5,5,2,110132.7,384142319
"1364",350,4,3860,2,NA,NA,NA,1,1,1,5,2,110132.7,384142319
"1365",400,4,3861,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1366",350,4,3863,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1367",5280,5,3866,1,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1368",NA,NA,3867,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1369",7000,4,3869,2,NA,NA,NA,1,5,1,5,2,110132.7,384142319
"1370",280,4,3870,2,NA,NA,NA,2,4,2,5,2,110132.7,384142319
